Word,Index
demonstrator,916
released,917
today,918
told,919
captivity,920
knew,921
fighting,922
home,923
n12,924
cry,925
encourage,926
israelis,927
street,928
celebration,929
continue,930
120,931
remaining,932
spoke,933
son,934
matan,935
held,936
telling,937
[,938
],939
hear,940
rest,941
silent,942
shift,943
important,944
challenge,945
depth,946
failure,947
intelligence,948
lt,949
gen,950
amos,951
speaking,952
gain,953
diplomatic,954
possibility,955
missing,956
pressure,957
dangerous,958
resident,959
murder,960
citizen,961
upon,962
entry,963
entered,964
morning,965
car,966
dead,967
cited,968
medium,969
begun,970
vehicle,971
check,972
source,973
terrorist,974
kan,975
reported,976
evening,977
announced,978
tikva,979
murdered,980
large,981
troop,982
seven,983
main,984
brought,985
medical,986
team,987
red,988
crescent,989
scene,990
show,991
driver,992
torched,993
man,994
buy,995
regular,996
basis,997
bag,998
found,999
third,1000
48,1001
70,1002
attacked,1003
paramedic,1004
checkpoint,1005
friday,1006
afternoon,1007
operative,1008
eliminated,1009
operation,1010
shin,1011
bet,1012
intended,1013
gideon,1014
unit,1015
rushed,1016
identifying,1017
procedure,1018
fired,1019
versus,1020
window,1021
small,1022
stone,1023
broken,1024
shattered,1025
glass,1026
visible,1027
violent,1028
south,1029
five,1030
injured,1031
mahmoud,1032
adding,1033
stick,1034
grandson,1035
muhammad,1036
suffered,1037
head,1038
wound,1039
require,1040
hospital,1041
stay,1042
dressed,1043
boy,1044
sat,1045
concrete,1046
floor,1047
visitor,1048
room,1049
mostly,1050
laid,1051
green,1052
yellow,1053
blue,1054
grandfather,1055
described,1056
thrown,1057
extremist,1058
child,1059
explained,1060
already,1061
filled,1062
recalled,1063
explaining,1064
thought,1065
walked,1066
underscore,1067
occurred,1068
2,1069
torah,1070
holiday,1071
worst,1072
anyone,1073
electricity,1074
located,1075
road,1076
outpost,1077
farm,1078
right,1079
regulation,1080
c,1081
civilian,1082
rule,1083
biblical,1084
included,1085
within,1086
sovereign,1087
flag,1088
historical,1089
narrative,1090
similarly,1091
wide,1092
gap,1093
council,1094
spokesman,1095
group,1096
20,1097
army,1098
presence,1099
action,1100
defend,1101
assistance,1102
photo,1103
holding,1104
showed,1105
masked,1106
building,1107
channel,1108
posted,1109
video,1110
volunteer,1111
left-wing,1112
b,1113
setting,1114
accuse,1115
twitter,1116
charge,1117
posting,1118
lie,1119
caused,1120
gas,1121
bomb,1122
literally,1123
proof,1124
tweeted,1125
initially,1126
helped,1127
false,1128
accusation,1129
nearby,1130
alleged,1131
arriving,1132
tear,1133
stun,1134
grenade,1135
charged,1136
height,1137
80,1138
spread,1139
beyond,1140
level,1141
speculated,1142
occur,1143
leaving,1144
attacker,1145
cut,1146
published,1147
breaking,1148
explosion,1149
blamed,1150
outside,1151
primarily,1152
teen,1153
unacceptable,1154
claim,1155
self-defense,1156
prevent,1157
declined,1158
interviewed,1159
article,1160
respond,1161
press,1162
request,1163
detail,1164
connection,1165
unusual,1166
move,1167
central,1168
command,1169
maj,1170
yehuda,1171
visited,1172
perspective,1173
almost,1174
start,1175
17,1176
prevented,1177
activist,1178
reaching,1179
deliver,1180
captured,1181
film,1182
using,1183
appeared,1184
marching,1185
side,1186
paved,1187
pass,1188
unable,1189
extreme,1190
right-wing,1191
teenager,1192
heightened,1193
period,1194
tension,1195
overall,1196
property,1197
damage,1198
injury,1199
compared,1200
data,1201
2020,1202
separately,1203
16,1204
"1,500",1205
every,1206
rare,1207
impossible,1208
describe,1209
chaos,1210
overwhelming,1211
rubber,1212
bullet,1213
rolled,1214
arm,1215
sibling,1216
heard,1217
shouting,1218
approaching,1219
22,1220
grandchild,1221
lasted,1222
mind,1223
nothing,1224
wounded,1225
immediately,1226
denounced,1227
harming,1228
innocent,1229
person,1230
regardless,1231
religion,1232
go,1233
act,1234
either,1235
elected,1236
refused,1237
concerned,1238
retaliate,1239
gone,1240
soroka,1241
school,1242
grew,1243
relationship,1244
mixed,1245
religious,1246
secular,1247
complex,1248
reality,1249
neighbor,1250
though,1251
opposed,1252
recognize,1253
living,1254
belongs,1255
